Date,Category,Product ID,Brand Name,Opening Balance,Quantity Added,Closing Balance,Price,Quantity Sold,Total Amount,Total,Sale
2025-03-04,Snacks,S20,Snacks,0.0,60.0,50.0,20.0,,200.0,60.0,10.0
2025-03-04,Snacks,S5,Snacks,0.0,180.0,65.0,5.0,,575.0,180.0,115.0
2025-03-04,Snacks,S10,Snacks,50.0,60.0,85.0,10.0,,250.0,110.0,25.0
2025-03-04,Snacks,S25,Snacks,0.0,61.0,29.0,25.0,,800.0,61.0,32.0
2025-03-04,ColdDrinks,T20,Thums up (200ml),100.0,100.0,200.0,20.0,,0.0,200.0,0.0
2025-03-04,Liquor,RS180,R.Stag (180ml),10.0,30.0,15.0,240.0,,6000.0,40.0,25.0
2025-03-04,ColdDrinks,M20,Mineral water (1000ml),0.0,50.0,30.0,20.0,,400.0,50.0,20.0
2025-03-04,ColdDrinks,M10,Mineral water (500ml),0.0,20.0,20.0,10.0,,0.0,20.0,0.0
2025-03-04,ColdDrinks,R125,Red Bull (250ml),0.0,25.0,20.0,125.0,,625.0,25.0,5.0
2025-03-05,ColdDrinks,T50,Thums up (750ml),0.0,10.0,10.0,50.0,,0.0,10.0,0.0
2025-03-05,Snacks,S5,Snacks,10.0,10.0,14.0,5.0,,15.0,20.0,3.0
2025-03-05,Liquor,RS180,R.Stag (180ml),0.0,20.0,-2385.0,240.0,,577200.0,20.0,2405.0
2025-03-06,Snacks,S10,Snacks,10.0,0.0,-1.0,10.0,,60.0,10.0,6.0
2025-03-06,Liquor,RS180,R.Stag (180ml),15.0,0.0,-5.0,240.0,,4800.0,15.0,20.0
2025-03-06,Snacks,S20,Snacks,10.0,100.0,80.0,20.0,,600.0,110.0,30.0
2025-03-15,Liquor,NO180,No.1 (180ml),0.0,100.0,80.0,210.0,,4200.0,100.0,20.0
2025-03-15,Liquor,RS180,R.Stag (180ml),15.0,25.0,7.0,240.0,,6720.0,40.0,28.0
2025-03-15,Snacks,S5,Snacks,17.0,0.0,-4.0,5.0,,85.0,17.0,17.0
2025-03-15,Liquor,MP180,MagicP (180ml),0.0,50.0,20.0,0.0,,0.0,50.0,30.0
2025-03-16,Liquor,MP180,MagicP (180ml),20.0,0.0,10.0,0.0,,0.0,20.0,5.0
2025-03-16,Liquor,NO180,No.1 (180ml),80.0,0.0,-140.0,210.0,,33600.0,80.0,160.0
2025-03-16,Liquor,IB180,IB (180ml),0.0,30.0,15.0,210.0,,3150.0,30.0,15.0
2025-03-16,Liquor,RS180,R.Stag (180ml),22.0,0.0,8.0,240.0,,2880.0,22.0,12.0
2025-03-16,ColdDrinks,T50,Thums up (750ml),10.0,5.0,15.0,50.0,,0.0,15.0,0.0
2025-03-19,Liquor,RS180,R.Stag (180ml),10.0,0.0,0.0,240.0,,1200.0,10.0,5.0
2025-03-19,Liquor,NO180,No.1 (180ml),0.0,5.0,-20997.0,210.0,,4410420.0,5.0,21002.0
